key,query,doi,score,ts
GBL6IHSM,,Type not supported,,1598888507.438972
VMRHB96Y,,Type not supported,,1598888507.4463296
32ECFHL2,,Type not supported,,1598888507.4536564
QM27RRTL,,Type not supported,,1598888507.4609244
A7IAD4Y4,,Type not supported,,1598888507.4683032
GD9ILUA7,,Type not supported,,1598888507.475592
AEDRNJIL,,Type not supported,,1598888507.4836328
L5QWF5C6,,Type not supported,,1598888507.491624
GP3RPAZW,,Type not supported,,1598888507.4998796
77PW57KR,,Type not supported,,1598888507.5084612
23BUD9B5,,Type not supported,,1598888507.5165305
TLRK9L3F,,Type not supported,,1598888507.5245645
PHGPBEFL,,Type not supported,,1598888507.5325794
LZH9II7B,,Type not supported,,1598888507.5401187
7ZZFM9M9,,Type not supported,,1598888507.5473585
EUDYC5HS,,Type not supported,,1598888507.5543642
K3L5RNXB,,Type not supported,,1598888507.5622633
2LH6I6RV,"?query.bibliographic=When Knowledges Meet: Wikipedia and other stories from the contact zone&query.author=Velden, Maja van der",10.1080/10447318.2013.765768,45.710102,1598888508.8704498
BNSYGTEX,,Type not supported,,1598888508.8822012
Y365YIYD,,Type not supported,,1598888508.8933651
ISYSKUS2,,Type not supported,,1598888508.9034796
XJQ9SM84,,Type not supported,,1598888508.9124026
KZ22SJZI,,Type not supported,,1598888508.9217598
7DLGQ8IE,,Type not supported,,1598888508.9300652
T8DJP39J,"?query.bibliographic=Archival Amnesty: In Search of Black American Transitional and Restorative Justice&query.author=Sutherland, Tonia&query.bibliographic=2017&query.container-title=Journal of Critical Library and Information Studies",10.24242/jclis.v1i2.42,111.81573999999999,1598888510.4657178
L8GK5MZZ,,Type not supported,,1598888510.4778926
B4FQWV2A,,Type not supported,,1598888510.4913974
2S2VNZ45,,Type not supported,,1598888510.504735
ZYS2LGSL,,Type not supported,,1598888510.5163689
35NH7QLW,"?query.bibliographic=Finding the Public Domain: Copyright Review Management System Toolkit&query.author=Levine, Melissa; Adler, Richard C.; Bonfiglio, Justin; Eden, Kristina; Hall, Brian S.&query.bibliographic=2016",10.3998/crmstoolkit.14616082.0001.001,109.66998000000001,1598888513.1297355
7EWXTL8I,,Type not supported,,1598888513.141424
EGDA4FN4,,Type not supported,,1598888513.1522062
DNM2BLNW,,Type not supported,,1598888513.1599026
JAT2UYJ2,"?query.bibliographic=Recoding Gender&query.author=Abbate, Janet&query.bibliographic=2012",10.7551/mitpress/9014.001.0001,50.336234999999995,1598888514.1489775
IH7C5TZJ,,Type not supported,,1598888514.1611874
ZMI5JX2N,,Type not supported,,1598888514.170733
WIQSI5JT,"?query.bibliographic=Electronic Art and the Law: Intellectual Property Rights in Cyberspace&query.author=Search, Patricia&query.bibliographic=1999&query.container-title=Leonardo",10.1162/002409499553226,92.84421999999999,1598888515.0055993
2XYFJMGM,,Type not supported,,1598888515.0177267
F5R7UZAU,,Type not supported,,1598888515.027253
HZNZFH5U,,Type not supported,,1598888515.0344405
ZXNL99WM,,Type not supported,,1598888515.041607
