Key,Creator,Creator Role,Creator Order,gender,agreement,split,male,female,ambiguous
4P7UP57I,"Young, Anne",Author,0.0,F,0.8888888888888888,False,{},"{'ANNE': [nan, 'AT', 'BE', 'CH', 'DE', 'DK', 'EE', 'FI', 'FR', 'GB', 'IE', 'LU', 'MT', 'NO', 'SE', 'US']}","{'ANNE': ['CA', 'NL']}"
P94733F5,"Young, Anne",Author,0.0,F,0.8888888888888888,False,{},"{'ANNE': [nan, 'AT', 'BE', 'CH', 'DE', 'DK', 'EE', 'FI', 'FR', 'GB', 'IE', 'LU', 'MT', 'NO', 'SE', 'US']}","{'ANNE': ['CA', 'NL']}"
ZHRTWH24,"Young, Anne",Author,0.0,F,0.8888888888888888,False,{},"{'ANNE': [nan, 'AT', 'BE', 'CH', 'DE', 'DK', 'EE', 'FI', 'FR', 'GB', 'IE', 'LU', 'MT', 'NO', 'SE', 'US']}","{'ANNE': ['CA', 'NL']}"
8DQQF7U6,"Young, Anne",Author,0.0,F,0.8888888888888888,False,{},"{'ANNE': [nan, 'AT', 'BE', 'CH', 'DE', 'DK', 'EE', 'FI', 'FR', 'GB', 'IE', 'LU', 'MT', 'NO', 'SE', 'US']}","{'ANNE': ['CA', 'NL']}"
BDZNP724,"Young, Anne",Author,0.0,F,0.8888888888888888,False,{},"{'ANNE': [nan, 'AT', 'BE', 'CH', 'DE', 'DK', 'EE', 'FI', 'FR', 'GB', 'IE', 'LU', 'MT', 'NO', 'SE', 'US']}","{'ANNE': ['CA', 'NL']}"
FF2FK52I,"Young, Anne",Author,0.0,F,0.8888888888888888,False,{},"{'ANNE': [nan, 'AT', 'BE', 'CH', 'DE', 'DK', 'EE', 'FI', 'FR', 'GB', 'IE', 'LU', 'MT', 'NO', 'SE', 'US']}","{'ANNE': ['CA', 'NL']}"
N6FTWLAV,"Bolliger, Stephanie",Author,0.0,F,1.0,False,{},"{'STEPHANIE': ['AT', 'BE', 'CA', 'CH', 'DE', 'FR', 'GB', 'HN', 'IE', 'LU', 'MT', 'NL', 'SE', 'US']}",{}
N6FTWLAV," Brüderlin, Brigitte",Author,1.0,F,1.0,False,{},"{'BRIGITTE': ['AT', 'BE', 'CA', 'CH', 'DE', 'DK', 'FR', 'GB', 'LU', 'MT', 'NL', 'NO', 'US']}",{}
N6FTWLAV," Gasser, Michael",Author,2.0,M,0.9523809523809523,False,"{'MICHAEL': [nan, 'AM', 'AT', 'AU', 'BE', 'CH', 'CZ', 'DE', 'DK', 'FR', 'GB', 'IE', 'IL', 'LU', 'MT', 'NL', 'NO', 'SE', 'SK', 'US']}",{},{'MICHAEL': ['CA']}
N6FTWLAV," Lyskawa, Julia",Author,3.0,F,1.0,False,{},"{'JULIA': ['AT', 'AZ', 'BE', 'BG', 'BR', 'BY', 'CA', 'CH', 'DE', 'DK', 'EE', 'ES', 'FR', 'GB', 'HU', 'IE', 'IL', 'IS', 'KZ', 'LU', 'MD', 'MT', 'NL', 'PL', 'PT', 'RU', 'SC', 'SE', 'SK', 'UA', 'US', 'UY']}",{}
